id	slug	name	pak
15318	zaislas-suniui-dd-virve-xs-22-cm10-mm-juoda	Žaislas šuniui - D&D virvė (XS) 22 cm*10 mm, juoda	["XS"]
15048	zaislas-suniui-raudonos-kaledines-zvaigzdes-su-virve-32-cm	Žaislas šuniui - Raudonos Kalėdinės žvaigždės su virve, 32 cm	[]
13974	trixie-samoa-classic-kelionine-antklode-120x80-cm-sv-melyna-pilka	Trixie Samoa Classic kelioninė antklodė, 120x80 cm, šv.mėlyna/pilka	[]
13143	trixie-automobilio-sedynes-uztiesalas-siauras-su-sonais-padalinamas-0-5x1-45-m-juodas	Trixie Automobilio sėdynės užtiesalas, siauras su šonais, padalinamas 0.5x1.45 m	[]
12663	monge-bwild-adult-kiskiena-10kg	Monge BWild Adult (kiškiena) 10kg	["10 kg"]
12661	monge-daily-line-sensitive-sausas-pasaras-sterilizuotoms-katems-su-vistiena-10kg	Monge Daily Line Sensitive sausas pašaras sterilizuotoms katėms su vištiena 10kg	["10 kg"]
12468	eukanuba-intestinal-disorders-adult-vistiena-12kg	Eukanuba Intestinal Disorders Adult (vištiena) 12kg	["12 kg"]
12457	eukanuba-german-shephed-adult-vistiena-12kg	Eukanuba German Shephed Adult (vištiena) 12kg	["12 kg"]
12456	eukanuba-golden-retriever-adult-vistiena-12kg	Eukanuba Golden Retriever Adult (vištiena) 12kg	["12 kg"]
26987	churu-hairball-kreminis-skanestas-katems-su-vistiena-60-vnt	Churu Hairball kreminis skanėstas katėms su vištiena, 60 vnt	[]
22877	8in1-sukos-sunims-l	8in1 Šukos šunims L	[]
12828	real-dog-sensitive-15kg-pasaras-suaugusiems-sunims-su-eriena-ir-ryziais	Real Dog Sensitive 15kg pašaras suaugusiems šunims su ėriena ir ryžiais	["15 kg"]
12484	family-dog-adult-medium-visavertis-pasaras-suaugusiems-sunims-su-eriena-ir-ryziais-15kg	Family Dog Adult Medium visavertis pašaras suaugusiems šunims su ėriena ir ryžia	["15 kg"]
18191	hikari-tropical-micro-pellets-45-g	Hikari Tropical Micro Pellets, 45 g	["45 g"]
18054	josera-leger-10-kg-sausas-maistas-katems-maziau-kaloriju	Josera Leger 10 kg - sausas maistas katėms, mažiau kalorijų	["10 kg"]
18043	josera-marinesse-10-kg-sausas-maistas-katems-su-lasisa	Josera Marinesse 10 kg - sausas maistas katėms su lašiša	["10 kg"]
17386	naturalios-triusio-ausys-su-kailiuku-100-g	Natūralios triušio ausys su kailiuku, 100 g	["100 g"]
15754	vesinantis-kilimelis-sunims-triju-dydziu	Vėsinantis kilimėlis šunims, trijų dydžių	[]
15671	sampunas-jauniems-jorksyro-terjerams-super-beno-york-junior-professional-250-ml	Šampūnas jauniems Jorkšyro terjerams, Super Beno York Junior Professional, 250 m	[]
15342	zaislas-suniui-coockoo-zane-spalvingas-kamuoliukas-su-rankena-209-59-5	Žaislas šuniui - Coockoo Zane - Spalvingas kamuoliukas su rankena, 20*9.5*9.5	[]
15309	zaislas-suniui-ebi-guminis-kaulas-melsvos-spalvos-kvepiantis-metomis	Žaislas šuniui - Ebi guminis kaulas melsvos spalvos, kvepiantis mėtomis	[]
15196	zaislas-suniui-kaledinis-saldainis-lazdele-23-cm	Žaislas šuniui - Kalėdinis saldainis - lazdelė, 23 cm	[]
12883	dziovintos-vistos-kojos-baltos-50vnt	Džiovintos vištos kojos baltos (50vnt)	[]
12544	monge-mini-adult-sausas-pasaras-mazu-veisliu-suaugusiems-sunims-su-lasisa-ir-ryziais-75kg	Monge mini adult sausas pašaras mažų veislių suaugusiems šunims su lašiša ir ryž	["7,5 kg"]
